NAME	TITLE	SCORE	
Samd11	na	1.4591386	
Ccne1	na	1.4588515	
Tdrkh	na	1.4583287	
Efhd2	na	1.4576169	
Rad23a	na	1.4572912	
Slc25a10	na	1.4547782	
Tmem180	na	1.4542198	
Pcyox1l	na	1.4517242	
Polq	na	1.4507966	
Calr	na	1.4500148	
Gm15834	na	1.4493573	
Ckb	na	1.4485351	
Mettl4	na	1.4450064	
Creld2	na	1.4447048	
Gm9790	na	1.4439703	
Slamf6	na	1.4416627	
Bard1	na	1.4385645	
Dsn1	na	1.4376123	
Myef2	na	1.4372075	
Phb2	na	1.4371791	
Ywhae	na	1.4370139	
Gjb2	na	1.434521	
Srpr	na	1.4339874	
Nmral1	na	1.4308885	
Chtf18	na	1.4298325	
Cldn25	na	1.4284798	
Ahi1	na	1.4283655	
Rbbp4	na	1.4282975	
Nudt1	na	1.427793	
Arl6ip1	na	1.4257451	
Got2	na	1.4250839	
Pabpc4	na	1.421766	
Hnrnpr	na	1.4209895	
Sv2a	na	1.4197494	
Parp1	na	1.4189355	
Mrs2	na	1.4160088	
Arfgap3	na	1.4151666	
Crlf2	na	1.4114486	
Rps27l	na	1.4112909	
Nos1	na	1.4101694	
Klrg1	na	1.4101479	
Ctla4	na	1.4100097	
Tango6	na	1.4093478	
Slc45a4	na	1.4089373	
Pyurf	na	1.4088368	
Tmem256	na	1.40856	
Mrps30	na	1.4082096	
Ctps	na	1.4074486	
Irf4	na	1.4073004	
Snrpd2	na	1.4067907	
Cwc15	na	1.405465	
Ptbp1	na	1.4042244	
Eif3b	na	1.4009904	
Fxn	na	1.4008138	
Blmh	na	1.3994977	
Npas2	na	1.3990446	
Snrnp25	na	1.3985543	
Foxk2	na	1.3965983	
Shq1	na	1.3965753	
Cenpp	na	1.3962231	
Dclre1b	na	1.3957139	
Cab39	na	1.3956883	
Qdpr	na	1.3936104	
Tonsl	na	1.3934337	
Cdca7l	na	1.3925081	
Slbp	na	1.3901248	
Hist1h4d	na	1.3889992	
Arl5a	na	1.3877088	
Bicd1	na	1.387417	
Anp32e	na	1.3871746	
Tnfsf11	na	1.3866903	
Gadd45b	na	1.3866756	
Irak1bp1	na	1.3859359	
Fam103a1	na	1.3850068	
Cdca5	na	1.3837643	
Psma4	na	1.3834494	
Synj2	na	1.3815703	
Zfp938	na	1.3812629	
Eif4e	na	1.3809992	
Slc2a8	na	1.3802091	
Guf1	na	1.3772823	
Mis18a	na	1.3771112	
Mbd4	na	1.3761109	
Adprh	na	1.3723469	
Hsp90ab1	na	1.3721068	
Lrrc59	na	1.3709855	
Cyb5r3	na	1.3708644	
Il3ra	na	1.3702998	
Arl1	na	1.3701727	
Nme6	na	1.369926	
Ola1	na	1.3693435	
Ccdc40	na	1.3691326	
Ndufa12	na	1.3689123	
Pomp	na	1.3687549	
Dlgap5	na	1.3678797	
Zwilch	na	1.3671155	
Gtf2e1	na	1.3668203	
2610001J05Rik	na	1.3660687	
1110008P14Rik	na	1.3658324	
Ctla2a	na	1.3655962	
Ywhah	na	1.3652651	
Zap70	na	1.3639337	
Gar1	na	1.3622011	
Rnf115	na	1.36188	
Tkt	na	1.361484	
Trpv2	na	1.3614241	
Gcsh	na	1.3600645	
Hspa14_1	na	1.3598716	
Sumo3	na	1.3593903	
Rnaseh2a	na	1.3589662	
Armc3	na	1.3587329	
Ercc1	na	1.3563231	
Ghitm	na	1.3561189	
Psmc3ip	na	1.3556783	
Cpsf2	na	1.3551221	
Racgap1	na	1.3545558	
Fads1	na	1.3520213	
Mmd	na	1.351536	
Serinc3	na	1.3513618	
Klf10	na	1.3509098	
Celsr2	na	1.3508666	
Ccdc18	na	1.3499542	
Pik3r4	na	1.3472372	
Pola1	na	1.3467176	
Gatad1	na	1.3460486	
Htatip2	na	1.3448	
Emb	na	1.3444846	
Dnaaf2	na	1.3444602	
Mdh2	na	1.3444182	
Rab11a	na	1.343715	
Cox6a1	na	1.3435159	
Slc25a5	na	1.3428787	
Azin1	na	1.3403589	
Mpp6	na	1.3401021	
Ptpn7	na	1.3394498	
Cacna1s	na	1.339387	
Nutf2-ps1	na	1.3379998	
Ptgfrn	na	1.3378184	
Cbfb	na	1.3372953	
Adarb1	na	1.3363578	
2610301B20Rik	na	1.3362421	
Abracl	na	1.3339984	
Pdzk1ip1	na	1.3327643	
Dtymk	na	1.3327001	
Slc19a1	na	1.3317933	
Cotl1	na	1.3315645	
Tm9sf4	na	1.3307347	
Mogs	na	1.329984	
Kif20a	na	1.3299167	
Psme3	na	1.3287936	
Zfp704	na	1.328523	
Fkbp1a	na	1.3275759	
Higd1a	na	1.3274527	
Spag7	na	1.3270242	
Nfatc1	na	1.3264102	
Eif5a	na	1.3262706	
Mrpl36	na	1.3262544	
Bora	na	1.3262442	
Hif1a	na	1.325667	
Ptges2	na	1.3256049	
Vdac3	na	1.3253433	
Gm10123	na	1.3252847	
Nasp	na	1.3249086	
Cct3	na	1.3243667	
Il17rb	na	1.323712	
Nid2	na	1.3228297	
Gstt3	na	1.322611	
Cbx5	na	1.3225565	
Larp1b_1	na	1.3222427	
Zfp3	na	1.3204014	
Agfg1	na	1.3203049	
Tmed10	na	1.3197341	
Wdfy1	na	1.3186791	
Slc22a17	na	1.3184719	
H2-Eb1	na	1.3179669	
Gyk	na	1.3178105	
Acd	na	1.3173935	
Slc25a32	na	1.3167188	
Tox	na	1.3160744	
Nme2	na	1.313442	
Vamp5	na	1.3132838	
Kdelr1	na	1.311715	
Myo5a	na	1.3103211	
Uap1	na	1.3090436	
Fbxo33	na	1.3086693	
Hsph1	na	1.3080336	
Gm16894	na	1.3072814	
Rnase4	na	1.3069955	
Zcchc18	na	1.3062	
Tes	na	1.3041494	
Sdf4	na	1.303937	
Ufc1	na	1.302854	
Psen2	na	1.3027685	
Gm16279	na	1.3018328	
Ehbp1l1	na	1.3000854	
Coro1c	na	1.2999039	
Tusc3	na	1.2990954	
Hexa	na	1.2990049	
Ppfibp1	na	1.2989646	
Ufm1	na	1.2980016	
H2afv	na	1.2974334	
Gins3	na	1.296899	
Cops2	na	1.2967498	
Psmc1	na	1.29427	
Hnrnpd	na	1.2940842	
Rnps1	na	1.2930365	
Abhd8	na	1.2903264	
Uap1l1	na	1.2901065	
Uba6	na	1.2897063	
Arhgef39	na	1.2884238	
Mrpl2	na	1.2881696	
Ppp1ca	na	1.287459	
Rad51	na	1.287273	
Cltb	na	1.2867299	
Il2	na	1.2862701	
Slc4a8	na	1.2858316	
Ccr8	na	1.2849123	
Usp39	na	1.2847947	
Pepd	na	1.2836467	
C030034L19Rik	na	1.2833287	
Rnf157	na	1.2825108	
Flna	na	1.2808067	
Gbp5	na	1.2781507	
Prpf18	na	1.2781421	
Vps36	na	1.2778456	
